"dsCode","isoCode","Multiplier"
"AL","ALL",1
"AD","DZD",1
"AK","AOA",1
"AN","ANG",1
"AP","ARS",1
"AR","AMD",1
"AG","AWG",1
"A$","AUD",1
"AS","ATS",1
"AM","AZN",1
"B$","BSD",1
"BH","BHD",1
"TK","BDT",1
"$B","BBD",1
"RB","BYR",1
"BF","BEF",1
"BD","BMD",1
"BP","BOB",1
"BO","BAM",1
"PU","BWP",1
"C","BRL",1
"~G","BRL",1000
"BN","BND",1
"BL","BGN",1
"KR","KHR",1
"C$","CAD",1
"CD","KYD",1
"CF","XAF",1
"CE","CLP",1
"CL","CLF",1
"CH","CNY",1
"CP","COP",1
"CM","COU",1
"CC","CRC",1
"KA","HRK",1
"CB","CUP",1
"CY","CYP",1
"CK","CZK",1
"DK","DKK",1
"DP","DOP",1
"FL","NLG",1
"ZN","NLG",1
"E$","XCD",1
"ECU","XEU",1
"SU","ECS",1
"E£","EGP",1
"EK","EEK",1
"E","EUR",1
"E0","EUR",1
"EX","EUR",1
"EC","EUR",1
"CU","EUR",1
"EU","EUR",1
"F$","FJD",1
"M","FIM",1
"FF","FRF",1
"DM","DEM",1
"CT","GHS",1
"DR","GRD",1
"GQ","GTQ",1
"HL","HNL",1
"K$","HKD",1
"HF","HUF",1
"IK","ISK",1
"IR","INR",1
"RI","IDR",1
"RR","IRR",1
"£E","IEP",1
"I£","ILS",1
"L","ITL",1
"J$","JMD",1
"Y","JPY",1
"JD","JOD",1
"KT","KZT",1
"KS","KES",1
"KD","KWD",1
"KZ","KGS",1
"LV","LVL",1
"L£","LBP",1
"LD","LRD",1
"DL","LYD",1
"LT","LTL",1
"LF","LUF",1
"PM","MOP",1
"MC","MKD",1
"MK","MWK",1
"M$","MYR",1
"M£","MTL",1
"MR","MUR",1
"MP","MXN",1
"MU","MXV",1
"ML","MDL",1
"MT","MNT",1
"MD","MAD",1
"MM","MZN",1
"BK","MMK",1
"NR","NAD",1
"ZR","ZRN",1
"Z$","NZD",1
"NC","NIO",1
"NG","NGN",1
"NK","NOK",1
"OL","TRL",1
"OR","OMR",1
"PR","PKR",1
"PB","PAB",1
"GK","PGK",1
"PG","PYG",1
"PS","PEN",1
"PP","PHP",1
"PZ","PLN",1
"PE","PTE",1
"Q","QAR",1
"RL","RON",1
"UR","RUB",1
"RF","RWF",1
"SC","SVC",1
"ST","WST",1
"TD","STD",1
"SR","SAR",1
"YD","RSD",1
"S$","SGD",1
"KK","SKK",1
"TO","SIT",1
"R","ZAR",1
"KW","KRW",1
"EP","ESP",1
"SD","XDR",1
"CR","LKR",1
"S£","SDG",1
"SG","SRD",1
"LL","SZL",1
"SK","SEK",1
"SF","CHF",1
"Y£","SYP",1
"TW","TWD",1
"TJ","TJS",1
"TS","TZS",1
"TB","THB",1
"T$","TTD",1
"UD","TND",1
"TL","TRY",1
"TM","TMT",1
"UG","UGX",1
"KB","UAH",1
"ED","AED",1
"£","GBP",1
"U$","USD",1
"UP","UYU",1
"UZ","UZS",1
"VT","VUV",1
"VB","VEB",1
"VO","VEF",1
"VD","VND",1
"CX","XOF",1
"YR","YER",1
"K","ZMK",1
"R$","ZWD",1
"SP","GBP",0.01
"BPN","GBP",0.01
"UC","USD",0.01
